# Gaia DR2 passbands and zero points used for the magnitudes published in Gaia DR2.
# https://www.cosmos.esa.int/web/gaia/iow_20180316
# Zeropoints:
#
# G               eG            BP              eBP           RP              eRP          system
# 25.6883657251   0.0017850023  25.3513881707   0.0013918258  24.7619199882   0.0019145719 VEGAMAG 
# 25.7933969562   0.0017848281  25.3805596387   0.0013917453  25.1161276701   0.0019146451      AB
# 
# Published magnitudes are VEGAMAG, so:
# 
# G_AB - G_Vega   = 0.105 +/- 0.003
# BP_AB - BP_Vega = 0.029 +/- 0.002
# RP_AB - RP_Vega = 0.354 +/- 0.003
#
Angstrom Fraction
6097.5 0.0
6100.0 1.174746891475034e-05
6102.5 1.2056584453308429e-05
6105.0 1.2425548224934933e-05
6107.5 1.286535980369153e-05
6110.0 1.3388911229207065e-05
6112.5 1.4005949865105117e-05
6115.0 1.4738880905327273e-05
6117.5 1.5608105124159784e-05
6120.0 1.6637367202627412e-05
6122.5 1.7859143787834673e-05
6125.0 1.9301345067920886e-05
6127.5 2.1001254244629166e-05
6130.0 2.3001995262965567e-05
6132.5 2.5351010507278317e-05
6135.0 2.810754983924044e-05
6137.5 3.1337550707603436e-05
6140.0 3.511676561791197e-05
6142.5 3.953642832247667e-05
6145.0 4.469280099883603e-05
6147.5 5.0699878718177944e-05
6150.0 5.768776413007384e-05
6152.5 6.57989230566867e-05
6155.0 7.520608797773576e-05
6157.5 8.610032501516985e-05
6160.0 9.869819639122664e-05
6162.5 0.00011323173448138022
6165.0 0.00012998688406351474
6167.5 0.00014927487546514192
6170.0 0.00017144598914308195
6172.5 0.00019685854723102374
6175.0 0.0002259787337968404
6177.5 0.0002592984619728124
6180.0 0.00029736736520421863
6182.5 0.000340931837661279
6185.0 0.00039057980584179445
6187.5 0.00044707782697178265
6190.0 0.0005112767475933264
6192.5 0.000584119692037781
6195.0 0.0006666489132462145
6197.5 0.0007600153343367401
6200.0 0.0008654871392978938
6202.5 0.000984339051640632
6205.0 0.0011181897633408642
6207.5 0.0012687109877853753
6210.0 0.001437730723551246
6212.5 0.0016276197767442363
6215.0 0.0018402733636740383
6217.5 0.002078071374688652
6220.0 0.0023435970400031867
6222.5 0.0026383145017482234
6225.0 0.0029662515374740393
6227.5 0.0033306171430169543
6230.0 0.003734863896424524
6232.5 0.004182545813619334
6235.0 0.004677751641284005
6237.5 0.00522472249233237
6240.0 0.0058279829419959316
6242.5 0.006494606100141904
6245.0 0.007227959588758018
6247.5 0.00803354003661519
6250.0 0.008917163135975643
6252.5 0.00988446907493751
6255.0 0.010942315499857974
6257.5 0.012097480183682088
6260.0 0.013357066007687771
6262.5 0.014729953444090536
6265.0 0.016222721974656212
6267.5 0.01784345912196211
6270.0 0.01960055476386306
6272.5 0.021498782514007112
6275.0 0.02355025548777574
6277.5 0.025764092226790734
6280.0 0.02814963812403151
6282.5 0.030720732810301868
6285.0 0.03348357247460474
6287.5 0.03644810280570269
6290.0 0.03962438178604427
6292.5 0.043013286710051425
6295.0 0.04663268461252061
6297.5 0.05049257823465163
6300.0 0.054602905567656
6302.5 0.05898753535896963
6305.0 0.06364428818284991
6307.5 0.06858279922243368
6310.0 0.07381243537856362
6312.5 0.07935208689433036
6315.0 0.08520199997816838
6317.5 0.09137049647516515
6320.0 0.09786539234282464
6322.5 0.10465731055673407
6325.0 0.11178450851164236
6327.5 0.11925255402734779
6330.0 0.12706625433768465
6332.5 0.1352415867286649
6335.0 0.1437711932470725
6337.5 0.1526573593863756
6340.0 0.1619014005222107
6342.5 0.17148251628683228
6345.0 0.18141858877054104
6347.5 0.1917076222700263
6350.0 0.20234649248515316
6352.5 0.21340276127434465
6355.0 0.22480675787658677
6357.5 0.23655217822396243
6360.0 0.2486315149402057
6362.5 0.2609800338849141
6365.0 0.27363842340737976
6367.5 0.2865953964073693
6370.0 0.29983850322804106
6372.5 0.31341193120843963
6375.0 0.32724831545688976
6377.5 0.341332075224458
6380.0 0.3556466200246314
6382.5 0.37002264674988566
6385.0 0.3845815106886105
6387.5 0.3993037517525385
6390.0 0.4141691955659439
6392.5 0.4292249907610426
6395.0 0.444386621623209
6397.5 0.4596323165348729
6400.0 0.47493992918884675
6402.5 0.49031308422608405
6405.0 0.5057047484776347
6407.5 0.5210922243558161
6410.0 0.5364528267248667
6412.5 0.5518666293596554
6415.0 0.5672142602231823
6417.5 0.5824736069680442
6420.0 0.5976229432563828
6422.5 0.612584656265682
6425.0 0.6273917300022205
6427.5 0.6420241904529983
6430.0 0.6564628005323304
6432.5 0.6705972950853131
6435.0 0.6844981916035763
6437.5 0.6981490071399234
6440.0 0.7115342696167303
6442.5 0.7245602319180668
6445.0 0.737290135085829
6447.5 0.7497119143407281
6450.0 0.7618146731200474
6452.5 0.7737306270511236
6455.0 0.785313553227682
6457.5 0.7965559623853417
6460.0 0.8074515663040848
6462.5 0.8182525514724399
6465.0 0.8287040349950232
6467.5 0.8388029084195986
6470.0 0.848547186230791
6472.5 0.857590712953552
6475.0 0.8662719816036499
6477.5 0.8745926165907562
6480.0 0.88255520678241
6482.5 0.8900164916975012
6485.0 0.8971252378301313
6487.5 0.9038867961102776
6490.0 0.9103072566592173
6492.5 0.9167354815467893
6495.0 0.9228411450852954
6497.5 0.9286318486064041
6500.0 0.9341156983105742
6502.5 0.9392248878289371
6505.0 0.9440439690998884
6507.5 0.9485822799320555
6510.0 0.9528494252843677
6512.5 0.9567902838993008
6515.0 0.9604792797756468
6517.5 0.9639265363250383
6520.0 0.9671422301627693
6522.5 0.9701948762852027
6525.0 0.9730366015847289
